x                      Leticia                Medellin               Arauca                 Barranquilla           Bogota                 Cartagena              Tunja                  Manizales              Mitu                   Yopal                  Popayan                Valledupar             Quibdo                 Monteria               Inirida                Riohacha               San_Jose_del_Guaviare  Neiva                  Santa_Marta            Villavicencio          Pasto                  Cucuta                 Santa_Rita             Armenia                Union                  Bucaramanga            Sincelejo              Puerto_Trujillo        Cali                   Puerto_Carreno         
Leticia                0                      0                      0                      0                      0                      0                      0                      0                      607.48                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      545.72                 0                      0                      0                      0                      0
                     
Medellin               0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      133.95                 280.77                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Arauca                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      266.18                 0                      412.45                 0                      369.95
                
Barranquilla           0                      0                      0                      0                      0                      100.41                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      69.94                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Bogota                 0                      0                      0                      0                      0                      0                      122.5                  164.06                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      79.4                   0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Cartagena              0                      0                      0                      100.41                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      121.51                 0                      0                      0
                     
Tunja                  0                      0                      0                      0                      122.5                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      177.01                 0                      0                      0                      0
                     
Manizales              0                      0                      0                      0                      164.06                 0                      0                      0                      0                      0                      0                      0                      144.28                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      61.49                  0                      0                      0                      0                      0                      0
                     
Mitu                   607.48                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      388.01                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      256.52                 0                      0
                     
Yopal                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      118.48                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Popayan                0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      157.90                 0                      0                      156.74                 0                      0                      0                      0                      0                      0                      0                      112.11                 0
                     
Valledupar             0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      135.54                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Quibdo                 0                      133.95                 0                      0                      0                      0                      0                      144.28                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Monteria               0                      280.77                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      81.56                  0                      0                      0
                     
Inirida                0                      0                      0                      0                      0                      0                      0                      0                      388.01                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      357.25                 0                      262.49
                
Riohacha               0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      144.86                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
San_Jose_del_Guaviare  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      222.37                 0                      0                      0                      0                      192.97                 0                      0
                     
Neiva                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      157.90                 0                      0                      0                      0                      0                      0                      0                      0                      227.55                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Santa_Marta            0                      0                      0                      69.94                  0                      0                      0                      0                      0                      0                      0                      135.54                 0                      0                      0                      144.86                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Villavicencio          0                      0                      0                      0                      79.4                   0                      0                      0                      0                      118.48                 0                      0                      0                      0                      0                      0                      0                      227.55                 0                      0                      0                      0                      0                      0                      0                      0                      0                      292.5                  0                      0
                     
Pasto                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      156.74                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      472.48                 0                      0                      0                      0                      0
                     
Cucuta                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      109.91                 0                      0                      0                      0
                     
Santa_Rita             0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      222.37                 0                      0                      0                      0                      0                      0                      0                      230.48                 0                      0                      0                      0                      0
                     
Armenia                0                      0                      0                      0                      0                      0                      0                      61.49                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      153.52                 0
                     
Union                  545.72                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      472.48                 0                      230.48                 0                      0                      0                      0                      0                      0                      0
                     
Bucaramanga            0                      0                      266.18                 0                      0                      0                      177.01                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      109.91                 0                      0                      0                      0                      0                      0                      0                      0
                     
Sincelejo              0                      0                      0                      0                      0                      121.51                 0                      0                      0                      0                      0                      0                      0                      81.56                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Puerto_Trujillo        0                      0                      412.45                 0                      0                      0                      0                      0                      256.52                 0                      0                      0                      0                      0                      357.25                 0                      192.97                 0                      0                      292.5                  0                      0                      0                      0                      0                      0                      0                      0                      0                      0
                     
Cali                   0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      112.11                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      153.52                 0                      0                      0                      0                      0                      0
                     
Puerto_Carreno         0                      0                      369.95                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      262.49                 0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                       
